Gamma,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,Max_Error_Mean,Max_Error_Std,R2_Mean,R2_Std
0.1,0.0001413323072483605,0.00025199297152249725,0.006616023136302799,0.006412158039704172,0.025490133464336363,0.02804920219312537,0.9990675687789917,0.0016447283509549884
0.2,0.00018811112531692142,0.00015705063748851236,0.00989563455805178,0.00495084296613211,0.0501720786094665,0.031259622629230065,0.9993461728096008,0.0005457580646472375
0.3,0.00033443627180528,0.00023170184006754416,0.012610163632780261,0.004644152285024287,0.06062458753585812,0.014352160260781168,0.999179744720459,0.0005730490977994824
0.5,0.00011854231997856356,7.271937801973798e-05,0.00769333941861982,0.0024325123357405876,0.05091520547866818,0.013700207319044852,0.9997800827026367,0.0001334170562422592
0.8,0.0006139122822787179,0.0007018464469757959,0.01567848455160852,0.009772768860681161,0.07309345453977582,0.04704877532925552,0.9990962624549866,0.0010164266891200657
