Forcing Omega,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,Max_Error_Mean,Max_Error_Std,R2_Mean,R2_Std,Num_Runs
0.5,4.726194492831421e-05,5.97576719271143e-05,0.00527332797646516,0.0036276371804610562,0.01230649873614308,0.004581294285482619,0.9990610480308533,0.001070515475300084,5
1.0,3.3307891226286304e-05,2.10498846696441e-05,0.00472096637822682,0.0022857354518197918,0.01245919167995448,0.0020126984938971864,0.9993021249771118,0.0004763777139921592,5
1.5,3.548064232745673e-05,2.3993419063590346e-05,0.00466778259724374,0.0017279218808693916,0.014849234744906362,0.005789201756295729,0.9992220401763916,0.0005382888292156076,5
1.8,2.198117963416735e-05,1.1389667840327367e-05,0.00346254883334036,0.0009818453130863674,0.01441712304949756,0.003486263338182874,0.9995389461517334,0.0002483508668674589,5
1.9,1.4050706204216112e-05,1.4521581897647082e-05,0.00274455144535744,0.0016140141616159476,0.00891939923167224,0.003722501663806518,0.9997103571891784,0.0002384144536793848,5
2.0,3.2670605833118316e-05,3.36157368534398e-05,0.0040396550437435,0.0025550141550767097,0.012682294845581,0.007565843278874938,0.9992857336997986,0.0006407051439489695,5
2.1,4.559496219369963e-05,5.179897149927082e-05,0.00477124759927386,0.0031839114151064746,0.01885364055633538,0.008596995676054799,0.9988545060157776,0.0013752655040012755,5
2.5,2.4477326951455326e-05,1.067734778477994e-05,0.00394046176224942,0.0009666591872908327,0.01482264250516888,0.003455228695711185,0.9993767023086548,0.00015972802839824135,5
2.75,0.0010793548717628848,0.0006676712141241979,0.02179017532616848,0.008685757665643744,0.07456103563308715,0.03658858824912806,0.9664137721061706,0.0240103923578894,5
3.0,0.00127072080504144,0.00014148607225682346,0.02721727155148978,0.0004819125509179601,0.08002183735370631,0.008355571972884552,0.9612463474273681,0.010916184611943575,5
3.25,0.00109998612897466,0.00014544065573000295,0.02600104399025438,0.0016486800610054665,0.06883663237094874,0.00503137445603946,0.9656158924102783,0.011202337081609635,5
3.5,0.0007912308559752401,9.111779119091758e-05,0.02233289219439026,0.0018025984046340122,0.060335554927587465,0.004621499589780334,0.9743993043899536,0.00888927930040056,5
4.0,0.00053274647798384,7.020529972439355e-05,0.0184204019606113,0.0011152384432390715,0.04894353300333018,0.005665271106736283,0.9825881123542786,0.005615740783015198,5
