Delta,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,Max_Error_Mean,Max_Error_Std,R2_Mean,R2_Std
0.0,0.00010685028246366474,3.453248600643445e-05,0.00755497477948662,0.0011878757449513152,0.04259884953498834,0.0056014323023495915,0.9997769594192505,6.954296417196162e-05
0.1,0.00044702845589197416,0.0004957645453255378,0.013562481245025921,0.009939330596092075,0.050668406486511164,0.02390516390107617,0.9990097045898437,0.0011131720728635047
0.2,0.00033443627180528,0.00023170184006754416,0.012610163632780261,0.004644152285024287,0.06062458753585812,0.014352160260781168,0.999179744720459,0.0005730490977994824
0.5,9.995548316507665e-05,0.0001123488260181026,0.0066708996891974804,0.004289628646538564,0.03066423237323756,0.025057733700246228,0.9992979168891907,0.0007952562575964416
1.0,3.988002090409225e-05,5.647546574692019e-05,0.00392671830486502,0.0037141198207205073,0.01279798112809652,0.010148362067557301,0.9993158102035522,0.0009614791202585281
