experiment,epochs,learning_rate,batch_size,train_ratio,split_method,seed,optimizer,loss_function,hidden_layers,neurons,activation,amplitude,omega,beta,phase,duration,samples,MSE,MAE,Maximum_error
13,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,0.3,0,10,1000,5.1691207772819325e-05,0.006087297108024359,0.016107607632875443
14,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,0.4,0,10,1000,5.804905595141463e-05,0.006579837761819363,0.017016751691699028
15,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,0.5,0,10,1000,1.2684139619523194e-05,0.0028676092624664307,0.0095549076795578
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,0.6,0,10,1000,8.624682232039049e-05,0.007832384668290615,0.02018708735704422
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,0.7,0,10,1000,4.687050750362687e-05,0.005427075549960136,0.013912682421505451
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,0.8,0,10,1000,3.279477095929906e-05,0.004987264983355999,0.01123160868883133
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,0.9,0,10,1000,9.779066203918774e-06,0.0025371641386300325,0.006796516478061676
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1.0,0,10,1000,1.679830893408507e-05,0.003230134956538677,0.009362518787384033
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.1,0,10,1000,6.949586531845853e-05,0.006584378890693188,0.029496878385543823
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.2,0,10,1000,0.0001738971477607265,0.010582158342003822,0.036446988582611084
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.3,0,10,1000,0.00011103623546659946,0.00923340767621994,0.027549974620342255
24,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.4,0,10,1000,5.981910362606868e-05,0.00691421190276742,0.01539575308561325
25,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.5,0,10,1000,7.2735027060844e-05,0.007437614258378744,0.014622032642364502
26,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.6,0,10,1000,2.3697513825027272e-05,0.0036295203026384115,0.011576641350984573
27,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.7,0,10,1000,1.9952194634242915e-05,0.0037299797404557467,0.009309083223342896
28,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.8,0,10,1000,3.982913312938763e-06,0.0016721077263355255,0.0038953195326030254
29,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,0.9,0,10,1000,7.132481186999939e-06,0.002197743859142065,0.007240116596221924
30,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1.0,0,10,1000,1.9753570086322725e-05,0.003655454143881798,0.009485561400651932
