Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Mass 1,Mass 2,Length 1,Length 2,Gravity,Initial Theta 1,Initial Theta 2,Initial Omega 1,Initial Omega 2,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,0.1,1.0,0.0,0.0,10,2000,0.0010510582942515612,0.024852991104125977,0.14135438203811646,0.9940933585166931
2,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,0.3,1.0,0.0,0.0,10,2000,0.00043575448216870427,0.01523652020841837,0.07526430487632751,0.9977948665618896
3,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,0.5,1.0,0.0,0.0,10,2000,9.590439731255174e-05,0.007038759998977184,0.030958011746406555,0.9995899200439453
4,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,0.7,1.0,0.0,0.0,10,2000,0.0003760907566174865,0.015256250277161598,0.05788304656744003,0.9989887475967407
5,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,2.5190356609527953e-05,0.0037581983488053083,0.024584174156188965,0.9999513626098633
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.2,1.0,0.0,0.0,10,2000,0.00013815744023304433,0.007801126688718796,0.08563888072967529,0.9997880458831787
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.5,1.0,0.0,0.0,10,2000,4.0102149796439335e-05,0.004949323832988739,0.025105953216552734,0.9999547600746155
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,2.0,1.0,0.0,0.0,10,2000,0.0002766981488093734,0.010913824662566185,0.10133934020996094,0.9999334812164307
