Alpha,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,Max_Error_Mean,Max_Error_Std,R2_Mean,R2_Std
0.5,0.000614,0.0007312239738958234,0.0168152,0.012684231872683503,0.0706118,0.01964134261449558,0.9989606,0.001230381973209962
0.8,0.0005502,0.00044933806871886564,0.016069800000000002,0.007230126879937861,0.0988736,0.025225148360316932,0.998878,0.0009316662492545794
1.0,0.0003344,0.00023187345686818058,0.01261,0.004644230022296483,0.060624599999999994,0.014352042338984376,0.9991798,0.0005731733594646493
1.2,0.0002928,0.0003786927514489814,0.0110236,0.008514343973554274,0.0544436,0.02856956782662279,0.9990926,0.0011834096078704329
1.5,0.000271,0.00028082823932076346,0.0112102,0.007177078632702863,0.050614000000000006,0.02292548189242704,0.9987348,0.0013139131249820446
