Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Mass 1,Mass 2,Length 1,Length 2,Gravity,Initial Theta 1,Initial Theta 2,Initial Omega 1,Initial Omega 2,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.0,1.0,0.0,0.0,20,3000,0.0011907026637345552,0.023820707574486732,0.23472073674201965,0.9978715777397156
2,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.0001,1.0,0.0,0.0,20,3000,0.0005078738322481513,0.015983806923031807,0.16103675961494446,0.9990639686584473
3,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.001,1.0,0.0,0.0,20,3000,0.0006835974054411054,0.018756777048110962,0.18912097811698914,0.9987874031066895
4,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.01,1.0,0.0,0.0,20,3000,0.0004298943094909191,0.015909776091575623,0.17341500520706177,0.9992530345916748
5,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.1,1.0,0.0,0.0,20,3000,0.002033643191680312,0.03270559757947922,0.21682022511959076,0.9965124130249023
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.0,1.0,0.0,0.0,20,3000,0.0011907026637345552,0.023820707574486732,0.23472073674201965,0.9978715777397156
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.0,1.0,0.0,0.0,20,3000,0.0011907026637345552,0.023820707574486732,0.23472073674201965,0.9978715777397156
