Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Mass 1,Mass 2,Length 1,Length 2,Gravity,Initial Theta 1,Initial Theta 2,Initial Omega 1,Initial Omega 2,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,0.5,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,0.0001479162892792374,0.009175797924399376,0.049462735652923584,0.9996601939201355
2,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,0.75,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,0.0001097966160159558,0.007841803133487701,0.03858426213264465,0.9997388124465942
3,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,2.5190356609527953e-05,0.0037581983488053083,0.024584174156188965,0.9999513626098633
4,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.25,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,0.00018976422143168747,0.010373726487159729,0.044663816690444946,0.9996509552001953
5,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.5,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,0.003575362730771303,0.0463080033659935,0.2334108203649521,0.9939945340156555
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,2.0,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,8.091337804216892e-05,0.006459041498601437,0.047675635665655136,0.9998546838760376
