Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Mass 1,Mass 2,Length 1,Length 2,Gravity,Initial Theta 1,Initial Theta 2,Initial Omega 1,Initial Omega 2,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,0.5,9.81,1.0,1.0,0.0,0.0,10,2000,0.0006594418082386255,0.019423065707087517,0.09775678813457489,0.9987661838531494
2,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,0.75,9.81,1.0,1.0,0.0,0.0,10,2000,7.481942884624004e-05,0.005772793665528297,0.0421292781829834,0.9998518228530884
3,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.0,9.81,1.0,1.0,0.0,0.0,10,2000,2.5190356609527953e-05,0.0037581983488053083,0.024584174156188965,0.9999513626098633
4,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.25,9.81,1.0,1.0,0.0,0.0,10,2000,7.878906762925908e-05,0.006267901510000229,0.03475826978683472,0.9998075366020203
5,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,1.5,9.81,1.0,1.0,0.0,0.0,10,2000,0.0004698022094089538,0.017741195857524872,0.09085017442703247,0.9990926384925842
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,2.0,9.81,1.0,1.0,0.0,0.0,10,2000,0.0001451348653063178,0.009444823488593102,0.03482672572135925,0.9995951652526855
